Designator,Footprint,Quantity,Value,LCSC Part #
BT2,CR1220-2-ext,1,Battery,C70381
C1,C_Elec_8x10.2,1,470uF,C2858857
C10,0402,1,1uF,C29266
"C12, C13, C15, C2, C4, C5, C7, C8",0402,8,100nF,C1525
C3,C_Elec_6.3x7.7,1,220uF,C970695
"C6, C9",0402,2,10nF,C15195
"D2, D4, D5",0603,3,LED_white,C2290
D3,D_SOD-323,1,1N4148WS,C2128
"R1, R16, R18",1206,3,1K,C4410
"R13, R14, R2, R5",0805,4,3K3,C26010
"R15, R17",1206,2,10k,C17902
R3,1206,1,4K7,C17936
R4,1206,1,100K,C17900
S1,SW_SPST_B3U-1000P,1,SW-PB,C720477
U3,SOT-223-3_TabPin2,1,LD33V,C35879
"U4, U9",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX485,C481667
U5,SOIC-20W_7.5x12.8mm_P1.27mm,1,DS3234S#,C2651511
