Designator,Mid X,Mid Y,Rotation,Layer
BT2,79.273429,36.068,180.0,top
C1,106.499955,57.75,90.0,top
C10,79.499955,26.0,0.0,top
C12,113.249955,20.0,270.0,top
C13,39.899555,55.39,270.0,top
C15,71.399955,47.8,0.0,top
C2,98.749955,57.9,270.0,top
C3,94.499955,47.0,90.0,top
C4,49.953955,18.134,270.0,top
C5,91.749955,57.9,270.0,top
C6,95.249955,57.8516,270.0,top
C7,87.499955,7.0,180.0,top
C8,81.789955,48.01,180.0,top
C9,71.529955,51.2556,0.0,top
D2,89.499955,1.5,0.0,top
D3,44.957955,17.526,90.0,top
D4,49.541955,47.1474,270.0,top
D5,74.499955,7.0,0.0,top
R1,81.999955,1.25,0.0,top
R13,113.587455,32.5,180.0,top
R14,113.587455,29.0,0.0,top
R15,113.537455,25.25,0.0,top
R16,53.961555,49.281,90.0,top
R17,62.724555,40.4672,0.0,top
R18,64.212455,7.0,0.0,top
R2,90.499955,-6.0,270.0,top
R3,49.249955,10.5,90.0,top
R4,44.345755,54.12,270.0,top
R5,94.749955,-6.0,90.0,top
S1,62.343555,46.4362,90.0,top
U3,83.039955,54.51,270.0,top
U4,82.999955,-6.0,270.0,top
U5,102.169555,17.5771,180.0,top
U9,95.749955,32.75,270.0,top
