Designator,Mid X,Mid Y,Rotation,Layer
_3,59.56,66.748,0.0,top
_2,117.63243,9.34801,0.0,top
,37.79286,9.02477,0.0,top
C1,65.38402,58.23753,270.0,top
C10,77.244,19.022,270.0,top
C11,78.63738,13.998,270.0,top
C13,73.152,13.998,270.0,top
C16,57.1671,13.998,270.0,top
C2,73.74334,61.49729,270.0,top
C3,73.74336,46.749085,90.0,top
C4,89.6376,13.998,270.0,top
C5,62.512,50.0527,0.0,top
C6,62.484,44.49108,0.0,top
C7,84.34424,13.998,270.0,top
C8,67.564,13.998,270.0,top
C9,62.22621,13.998,270.0,top
D1,43.076215,35.01278,0.0,top
D3,58.46708,38.60879,180.0,top
J1,44.814485,20.08467,90.0,top
J2,109.03834,63.5,90.0,top
J3,109.03834,43.15389,90.0,top
P1,39.96116,53.01569,90.0,top
R1,96.53763,62.62578,270.0,top
R13,97.19595,48.44811,90.0,top
R14,92.88739,47.77572,270.0,top
R2,92.27017,63.78479,90.0,top
R3,43.81002,37.99845,0.0,top
R4,83.40928,38.60879,180.0,top
R6,69.215,40.98646,180.0,top
U1,79.09931,28.03058,270.0,top
U2,53.151585,56.487515,0.0,top
U3,52.527605,47.205925,90.0,top
U4,110.699095,21.653195,90.0,top
U5,84.0737,63.54318,270.0,top
U9,84.19871,47.46569,270.0,top
VR1,67.50065,67.27429,0.0,top
