Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Elec_8x10.2,1,Cap,C2858857
C10,0402,1,Cap,C29266
"C11, C13, C16, C2, C4, C5, C7, C8",0402,8,Cap,C1525
C3,C_Elec_6.3x7.7,1,Cap,C970695
"C6, C9",0402,2,Cap,C15195
D1,D_SOD-323,1,1N4148WS,C2128
D3,0603,1,LED3,C2290
J1,microSD,1,${ALTIUM_VALUE}${VALUEAUX},
"J2, J3",RJ45_Amphenol_54602-x08_Horizontal,2,54602-908LF,
P1,HDR1X6,1,Grabador,
"R1, R13, R14, R2",1206,4,Res1,C26010
R3,1206,1,Res1,C17936
R4,1206,1,Res1,C17902
R6,1206,1,Res1,C4410
U1,MCHP-SPDIP-SP28,1,DSPIC33EP256MC202-I/SP,
U2,TO-252-3_TabPin2,1,LM1117DT-5.0NOPB,C354068
U3,SOT-223-3_TabPin2,1,LD33V,C35879
U4,ADXL355Z,1,ADXL355Z,
"U5, U9",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX485,C481667
U6,TO-263-2,1,LM7805_TO220,C15077
