Designator,Mid X,Mid Y,Rotation,Layer
C1,77.216,57.657965,90.0,top
C10,73.914,19.049965,180.0,top
C11,78.6203,13.179965,270.0,top
C13,73.145,13.179965,270.0,top
C16,57.15,13.179965,270.0,top
C2,85.598,60.604665,270.0,top
C3,77.216,45.722465,270.0,top
C4,89.6205,13.180065,270.0,top
C5,61.9252,48.005965,0.0,top
C6,61.9252,44.491065,0.0,top
C7,84.3271,13.179965,270.0,top
C8,67.5747,13.179965,270.0,top
C9,62.2091,13.179965,270.0,top
D1,43.566,32.613565,0.0,top
D3,66.7765,38.353965,180.0,top
J1,46.327525,20.319955,90.0,top
J2,108.0193,61.988665,90.0,top
J3,107.994,43.153865,90.0,top
P1,39.96114,53.015665,90.0,top
R1,97.2997,66.943765,270.0,top
R13,97.8666,46.712265,90.0,top
R14,92.71,46.735965,270.0,top
R2,92.456,67.055965,90.0,top
R3,43.434,37.591965,0.0,top
R4,87.2193,38.608765,180.0,top
R6,72.9595,38.353965,180.0,top
U1,78.73999,25.907955,270.0,top
U2,53.418,54.537465,0.0,top
U3,50.9864,44.023965,180.0,top
U4,110.881255,21.32698,90.0,top
U5,85.917,66.293965,90.0,top
U6,64.751,64.908965,90.0,top
U9,86.106,47.243965,90.0,top
