"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC","MANUFACTURER","MANUFACTURER_PART_NUMBER","PACKAGE","Sim.Device","Sim.Pins","Sim.Type","Descripción","#"
"U9","1","MAX485","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","C481667","","","SOP-8","","","","","1"
"U5","1","DS3234S#","","","","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","","C2651511","","DS3234S#","SO-20-300mil","","","","No Description Available","2"
"U4","1","MAX485","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","C481667","","","SOP-8","","","","","3"
"U3","1","LD33V","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","C35879","","","SOT-223-4SOT-223-4","","","","800mA Fixed Low Drop Positive Voltage Regulator, Fixed Output 3.3V, SOT-223","4"
"S1","1","SW-PB","","","","Button_Switch_SMD:SW_SPST_B3U-1000P","","C720477","","","SMD,4x3mm","","","","Switch","5"
"R18","1","1K","","","","Resistor_SMD:R_1206_3216Metric","","C4410","","","1206","","","","Resistor","6"
"R17","1","10K","","","","Resistor_SMD:R_1206_3216Metric","","C17902","","","1206","","","","Resistor","7"
"R16","1","1K","","","","Resistor_SMD:R_1206_3216Metric","","C4410","","","1206","","","","Resistor","8"
"R15","1","10k","","","","Resistor_SMD:R_1206_3216Metric","","C17902","","","1206","","","","Resistor, US symbol","9"
"R14","1","3K3","","","","Resistor_SMD:R_0805_2012Metric","","C26010","","","0805","","","","Resistor","10"
"R13","1","3K3","","","","Resistor_SMD:R_0805_2012Metric","","C26010","","","0805","","","","Resistor","11"
"R5","1","3K3","","","","Resistor_SMD:R_0805_2012Metric","","C26010","","","0805","","","","Resistor","12"
"R4","1","100K","","","","Resistor_SMD:R_1206_3216Metric","","C17900","","","1206","","","","Resistor","13"
"R3","1","4K7","","","","Resistor_SMD:R_1206_3216Metric","","C17936","","","1206","","","","Resistor","14"
"R2","1","3K3","","","","Resistor_SMD:R_0805_2012Metric","","C26010","","","0805","","","","Resistor","15"
"R1","1","1K","","","","Resistor_SMD:R_1206_3216Metric","","C4410","","","1206","","","","Resistor","16"
"D5","1","LED_white","","","","LED_SMD:LED_0603_1608Metric","","C2290","","","0603","","","","Typical BLUE SiC LED","17"
"D4","1","LED_white","","","","LED_SMD:LED_0603_1608Metric","","C2290","","","0603","","","","Typical BLUE SiC LED","18"
"D3","1","1N4148WS","","","","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf","C2128","","","","D","1=K 2=A","","75V 0.15A Fast switching Diode, SOD-323","19"
"D2","1","LED_white","","","","LED_SMD:LED_0603_1608Metric","","C2290","","","0603","","","","Typical BLUE SiC LED","20"
"C15","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","","C1525","","","0402","","","","Capacitor","21"
"C13","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","","C1525","","","0402","","","","Capacitor","22"
"C12","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","","C1525","","","0402","","","","Capacitor","23"
"C10","1","1uF","","","","Capacitor_SMD:C_0402_1005Metric","","C29266","","","0402","","","","Capacitor","24"
"C9","1","10nF","","","","Capacitor_SMD:C_0402_1005Metric","","C15195","","","0402","","","","Capacitor","25"
"C8","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","","C1525","","","0402","","","","Capacitor","26"
"C7","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","","C1525","","","0402","","","","Capacitor","27"
"C6","1","10nF","","","","Capacitor_SMD:C_0402_1005Metric","","C15195","","","0402","","","","Capacitor","28"
"C5","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","","C1525","","","0402","","","","Capacitor","29"
"C4","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","","C1525","","","0402","","","","Capacitor","30"
"C3","1","220uF","","","","Capacitor_SMD:C_Elec_6.3x7.7","","C970695","","","SMD,D6.3xL7.7mm","","","","Capacitor","31"
"C2","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","","C1525","","","0402","","","","Capacitor","32"
"C1","1","470uF","","","","Capacitor_SMD:C_Elec_8x10.2","","C2858857","","","SMD,D8xL10.2mm","","","","Capacitor","33"
"BT2","1","Battery","","","","CR1220:CR1220-2","","C70381","","","","V","1=+ 2=-","DC","Multiple-cell battery","34"
